,Make
0,STINSON
1,PIPER
2,CESSNA
3,ROCKWELL
4,CESSNA
5,MCDONNELL DOUGLAS
6,CESSNA
7,CESSNA
8,CESSNA
9,NORTH AMERICAN
10,PIPER
11,BEECH
12,BELLANCA
13,CESSNA
14,NAVION
15,BEECH
16,ENSTROM
17,CESSNA
18,CESSNA
19,SMITH
20,CESSNA
21,CESSNA
22,BELL
23,PIPER
24,GRUMMAN
25,CESSNA
26,BEECHCRAFT
27,MAULE
28,CESSNA
29,BELLANCA
30,CESSNA
31,AIR TRACTOR
32,PIPER
33,PIPER
34,CESSNA
35,PIPER
37,NAVION
38,PIPER
39,PIPER
40,ROCKWELL
41,PIPER
42,PIPER
43,CESSNA
44,CESSNA
45,CESSNA
46,AEROSPATIALE
47,BEECH
48,CESSNA
49,MOONEY
50,BOEING
51,CESSNA
52,BEECH
53,CURTIS
54,CESSNA
55,PIPER
56,CESSNA
57,CESSNA
58,PIPER
59,CESSNA
60,CESSNA
61,CESSNA
62,SCHLEICHER
63,CESSNA
64,CESSNA
65,PIPER
66,CESSNA
67,CESSNA
68,PIPER
69,CESSNA
70,PIPER
71,MOONEY
72,CESSNA
73,QUICKIE
74,CESSNA
75,PIPER
76,CESSNA
77,CESSNA
78,CESSNA
79,LOCKHEED
80,EMBRAER
81,CESSNA
82,BEECH
83,GRUMMAN
84,BOEING
85,PIPER
86,BEECH
87,PIPER
88,CESSNA
89,CESSNA
90,CESSNA
91,HUGHES
92,CESSNA
93,SWEARINGEN
94,BEECH
95,DE HAVILLAND
96,BELL HELICOPTER
97,CESSNA
98,CESSNA
99,BEDE AIRCRAFT
100,CESSNA
101,CONVAIR
102,PIPER
103,PIPER
104,BEECH
105,CESSNA
106,CESSNA
107,CESSNA
108,BELL
109,BEECH
110,CESSNA
111,PIPER
112,CESSNA
113,CESSNA
114,MOONEY
115,BEECH
116,CESSNA
117,GRUMMAN
118,SWEARINGEN
119,DE HAVILLAND
120,PIPER
121,CESSNA
122,CESSNA
123,CESSNA
124,BEACHNER
125,CESSNA
126,CESSNA
127,CESSNA
128,PIPER
129,CANADAIR
130,PIPER
131,PIPER
132,BEECH
133,CESSNA
134,PIPER
135,CESSNA
136,CESSNA
137,HUGHES
138,CESSNA
139,CESSNA
140,DOUGLAS
141,PIPER
142,PIPER
143,GRUMMAN
144,PIPER
145,CESSNA
146,MOONEY
147,AIR TRACTOR
148,SONS MUSTANG
149,DASSAULT/SUD
150,CESSNA
151,SIKORSKY
152,CESSNA
153,MOONEY
154,GRUMMAN
155,MCDONNELL DOUGLAS
156,BEECH
157,PIPER
158,CESSNA
159,PIPER
160,PIPER
161,CESSNA
162,BELL/TEXTRON
163,BELL
164,PIPER
165,ROBERTSON
166,CESSNA
167,CESSNA
168,CESSNA
169,CESSNA
170,CESSNA
171,CESSNA
172,CESSNA
173,PIPER
174,CESSNA
175,CESSNA
176,BELLANCA
177,HUGHES
178,BELL
179,CESSNA
180,CESSNA
181,CESSNA
182,AERONCA
183,PIPER
184,PIPER
185,CESSNA
186,CESSNA
187,MOONEY
188,CESSNA
189,PIPER
190,CESSNA
191,BEECH
192,CESSNA
193,CESSNA
194,PIPER
195,MOONEY
196,CESSNA
197,AERONCA
198,CESSNA
199,CESSNA
200,CESSNA
201,CESSNA
202,CESSNA
203,CESSNA
204,CESSNA
205,PIPER
206,CESSNA
207,BEECH
208,CESSNA
209,PIPER
210,CESSNA
211,CESSNA
212,CESSNA
213,PIPER
214,BEECH
215,CESSNA
216,AEROSPATIALE
217,CESSNA
218,BELLANCA
219,CESSNA
220,CESSNA
221,GRUMMAN
222,PIPER
223,PIPER
224,CESSNA
225,CESSNA
226,CESSNA
227,SMITH MINIPLANE
228,MOONEY
229,MITSUBISHI
230,MCDONNELL-DOUGLAS
231,CESSNA
232,TAYLORCRAFT
233,BELL
234,TED SMITH
235,ROBINSON
236,BELLANCA
237,BELL
238,PIPER
239,PIPER
240,PIPER
241,CESSNA
242,BOEING
243,PIPER
244,BELLANCA
245,TAYLORCRAFT
246,PIPER
247,RAVEN
248,CESSNA
249,CESSNA
250,PIPER
251,ERCOUPE
252,CESSNA
253,CESSNA
254,PIPER
255,CESSNA
256,PIPER
257,CESSNA
258,ROCKWELL COMDR
259,PIPER
260,BELLANCA
261,CESSNA
262,CESSNA
263,PIPER
264,CESSNA
265,CESSNA
266,CESSNA
267,CESSNA
268,CESSNA
269,CESSNA
270,PIPER
271,CESSNA
272,PIPER
273,PIPER
274,CESSNA
275,CESSNA
276,BEECH
277,PIPER
278,BEECH
279,BEECH
280,CESSNA
281,CESSNA
282,CESSNA
283,CESSNA
284,CESSNA
285,BEECH
286,CESSNA
287,CESSNA
288,CESSNA
289,SIKORSKY
290,CESSNA
291,GRUMMAN
292,CESSNA
293,PIPER
294,DE HAVILLAND
295,PIPER
296,HOWARD AIRCRAFT CORP.
297,CESSNA
298,CESSNA
299,PIPER
300,ROCKWELL
301,BEECH
302,CESSNA
303,CESSNA
304,AERONCA
305,CESSNA
306,PIPER
307,CESSNA
308,AERONCA
309,BELL
310,CESSNA
311,CESSNA
312,BELLANCA
313,CESSNA
314,PIPER
315,PIPER
316,PIPER
317,CESSNA
318,PORTERFIELD
319,PIPER
320,BOEING
321,CESSNA
322,PIPER
323,MOONEY
324,PIPER
325,CESSNA
326,PIPER
327,CESSNA
328,BEECH
329,PIPER
330,CESSNA
331,BELLANCA
332,PIPER
333,CESSNA
334,PIPER
335,BEECH
336,NIHON
337,CESSNA
338,CESSNA
339,PIPER
340,BELLANCA
341,CESSNA
342,CESSNA
343,CESSNA
344,BOEING
345,PIPER
346,EMBRAER
347,BEECH
348,PIPER
349,CESSNA
350,GREAT LAKES
351,BOEING
352,PIPER
353,BALLOON WORKS
354,QUICKIE
355,CESSNA
356,CESSNA
357,CESSNA
358,BEECH
359,CESSNA
360,BELL
361,CESSNA
362,PITTS
363,CESSNA
364,CESSNA
365,PIPER
366,PIPER
367,CESSNA
368,CESSNA
369,CESSNA
370,CESSNA
371,BEECH
372,CESSNA
373,GRUMMAN
374,PIPER
375,PIPER
376,PIPER
377,DE HAVILLAND
378,GRUMMAN
379,PIPER
380,CESSNA
381,CESSNA
382,MOONEY
383,BELLANCA
384,PIPER
385,CESSNA
386,FAIRCHILD HILLER
387,BELLANCA
388,KAMAN
389,BELLANCA
390,CESSNA
391,GRUMMAN
392,CESSNA
393,CESSNA
394,PIPER
395,CESSNA
396,PIPER
397,CESSNA
398,BELL
399,PIPER
400,CESSNA
401,CESSNA
402,CESSNA
403,ROCKWELL
404,BEECH
405,CESSNA
406,CESSNA
407,SWEARINGEN
